poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
88366,1205,Marist,"","",Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,North Carolina,9/19/24,9/24/24,,"",,,,,210776,1507,rv,,rv,,9/26/24 08:40,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,,,"",false,,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,54.0
88366,1205,Marist,"","",Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,North Carolina,9/19/24,9/24/24,,"",,,,,210776,1507,rv,,rv,,9/26/24 08:40,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,,,"",false,,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,42.0
88366,1205,Marist,"","",Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,North Carolina,9/19/24,9/24/24,,"",,,,,210777,1348,lv,,lv,,9/26/24 08:41,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,,,"",false,,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,54.0
88366,1205,Marist,"","",Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,North Carolina,9/19/24,9/24/24,,"",,,,,210777,1348,lv,,lv,,9/26/24 08:41,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-north-carolina-september-2024/,,,"",false,,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,43.0
88303,1464,Slingshot Strategies,2075,Citizens for Judicial Fairness,Slingshot Strategies,451,Slingshot Strategies,1.4,0.1,,3.0,Delaware,9/19/24,9/21/24,,"",,,,,210405,500,rv,,rv,,9/24/24 09:08,"",https://static1.squarespace.com/static/573df4e8b6aa6049f524c3d1/t/66f1c7b880cc503b89b380ae/1727121336405/Delaware_Governor_General_Election_Topline_Draft_9.23.24.docx.pdf,,https://static1.squarespace.com/static/573df4e8b6aa6049f524c3d1/t/66f1c7b880cc503b89b380ae/1727121336405/Delaware_Governor_General_Election_Topline_Draft_9.23.24.docx.pdf,,"",,,9538,2024,Governor,0,,11/5/24,general,false,false,,DEM,Meyer,31239,Matthew Meyer,52.0
88303,1464,Slingshot Strategies,2075,Citizens for Judicial Fairness,Slingshot Strategies,451,Slingshot Strategies,1.4,0.1,,3.0,Delaware,9/19/24,9/21/24,,"",,,,,210405,500,rv,,rv,,9/24/24 09:08,"",https://static1.squarespace.com/static/573df4e8b6aa6049f524c3d1/t/66f1c7b880cc503b89b380ae/1727121336405/Delaware_Governor_General_Election_Topline_Draft_9.23.24.docx.pdf,,https://static1.squarespace.com/static/573df4e8b6aa6049f524c3d1/t/66f1c7b880cc503b89b380ae/1727121336405/Delaware_Governor_General_Election_Topline_Draft_9.23.24.docx.pdf,,"",,,9538,2024,Governor,0,,11/5/24,general,false,false,,REP,Ramone,37470,Michael J. Ramone,25.0
88278,1424,Siena/NYT,"","",The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,North Carolina,9/17/24,9/21/24,,"",,,,,210350,682,rv,,rv,,9/23/24 08:50,"",https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-toplines.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-crosstabs.html,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,47.0
88278,1424,Siena/NYT,"","",The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,North Carolina,9/17/24,9/21/24,,"",,,,,210350,682,rv,,rv,,9/23/24 08:50,"",https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-toplines.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-crosstabs.html,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,36.0
88278,1424,Siena/NYT,"","",The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,North Carolina,9/17/24,9/21/24,,"",,,,,210351,682,lv,,lv,,9/23/24 08:50,"",https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-toplines.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-crosstabs.html,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,47.0
88278,1424,Siena/NYT,"","",The New York Times/Siena College,448,The New York Times/Siena College,3.0,-1.5,Live Phone,9.0,North Carolina,9/17/24,9/21/24,,"",,,,,210351,682,lv,,lv,,9/23/24 08:50,"",https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/2024/09/23/us/politics/times-siena-polls-arizona-georgia-north-carolina.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-toplines.html,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-north-carolina-crosstabs.html,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,37.0
88244,1672,Victory Insights,"","",Victory Insights,673,Victory Insights,1.3,0.1,IVR/Text-to-Web,1.0,North Carolina,9/16/24,9/18/24,,"",,,,,210160,600,lv,,lv,,9/19/24 10:42,"",https://drive.google.com/file/d/1Cqm7dyeTxFQGSbW2BH6YQqbv0plTVv7C/view,,https://drive.google.com/file/d/1Cqm7dyeTxFQGSbW2BH6YQqbv0plTVv7C/view,,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,46.9
88244,1672,Victory Insights,"","",Victory Insights,673,Victory Insights,1.3,0.1,IVR/Text-to-Web,1.0,North Carolina,9/16/24,9/18/24,,"",,,,,210160,600,lv,,lv,,9/19/24 10:42,"",https://drive.google.com/file/d/1Cqm7dyeTxFQGSbW2BH6YQqbv0plTVv7C/view,,https://drive.google.com/file/d/1Cqm7dyeTxFQGSbW2BH6YQqbv0plTVv7C/view,,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,41.7
88240,1102,Emerson,960,The Hill,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,North Carolina,9/15/24,9/18/24,,"",,,,,210094,1000,lv,,lv,,9/19/24 09:24,"",https://emersoncollegepolling.com/september-2024-swing-state-polls-trump-and-harris-locked-in-tight-presidential-race/,https://emersoncollegepolling.com/september-2024-swing-state-polls-trump-and-harris-locked-in-tight-presidential-race/,,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,48.2
88240,1102,Emerson,960,The Hill,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,North Carolina,9/15/24,9/18/24,,"",,,,,210094,1000,lv,,lv,,9/19/24 09:24,"",https://emersoncollegepolling.com/september-2024-swing-state-polls-trump-and-harris-locked-in-tight-presidential-race/,https://emersoncollegepolling.com/september-2024-swing-state-polls-trump-and-harris-locked-in-tight-presidential-race/,,https://docs.google.com/spreadsheets/d/1SCRlpxhcTB3YCrLcbSAG_hdj6ZwTzl85/edit?gid=1322755984#gid=1322755984,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,40.3
88257,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3.0,North Carolina,9/9/24,9/18/24,,"",,,,,210215,1314,lv,,lv,,9/19/24 19:54,"",https://pro.morningconsult.com/trackers/2024-election-state-polls,https://pro.morningconsult.com/trackers/2024-election-state-polls,,,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,DEM,Stein,30167,Joshua Harold Stein,49.81
88257,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Panel,3.0,North Carolina,9/9/24,9/18/24,,"",,,,,210215,1314,lv,,lv,,9/19/24 19:54,"",https://pro.morningconsult.com/trackers/2024-election-state-polls,https://pro.morningconsult.com/trackers/2024-election-state-polls,,,"",,,9502,2024,Governor,0,,11/5/24,general,false,false,,REP,Robinson,30168,Mark Keith Robinson,36.68
